MOVIE TITLE,RELEASE YEAR,RUNTIME,IMDB RATING,IMDB VOTES,WORLDWIDE GROSS,ESTIMATED BUDGET,PROFIT,MOVIE REVIEW
Fearless,1993,122,7.1,21994,48424341,6000000,42424341,0
The Paper,1994,112,6.7,13613,48424341,6000000,42424341,1
Star Trek V: The Final Frontier,1989,107,5.5,57741,70210000,27800000,42410000,0
Into the Wild,2007,148,8.1,559434,56255142,15000000,41255142,1
Scarface,1983,170,8.3,719426,65884703,25000000,40884703,1
The Saint,1997,116,6.2,64904,108060970,68000000,40060970,0
The MatchMaker,1997,97,6.5,5561,108060970,68000000,40060970,0
Batman Returns,1992,126,7,283853,120000000,80000000,40000000,0
"The Adventures of Priscilla, Queen of the Desert",1994,104,7.5,48185,42300000,3000000,39300000,1
Muriel's Wedding,1994,106,7.2,37002,42300000,3000000,39300000,0
The Secret in Their Eyes,2009,129,8.2,187322,40527719,2000000,38527719,0
Made in America,1993,111,5.1,16240,60000000,22000000,38000000,0
Evita,1996,135,6.3,34813,91000000,55000000,36000000,0
Rear Window,1954,112,8.5,462121,36888916,1000000,35888916,1
Carlito's Way,1993,144,7.9,207467,63848322,30000000,33848322,0
The Terminator,1984,107,8,818312,40000000,6400000,33600000,0
The Shawshank Redemption,1994,142,9.3,2446424,58500000,25000000,33500000,0
Assassins,1995,132,6.3,79993,83306268,50000000,33306268,0
Fear,1996,97,6.2,44751,53192700,20000000,33192700,0
Eye for an Eye,1996,101,6.2,15597,53192700,20000000,33192700,1
Mercury Rising,1998,111,6.1,71281,93107289,60000000,33107289,0
Wild Tales,2014,122,8.1,169717,36353750,3300000,33053750,0
Volcano,1997,104,5.5,73881,122823468,90000000,32823468,0
The Beverly Hillbillies,1993,92,5,17927,57405220,25000000,32405220,0
Little Big League,1994,119,6.1,10363,57405220,25000000,32405220,0
Lassie,1994,94,5.9,6028,57405220,25000000,32405220,0
Rumble in the Bronx,1995,104,6.8,40582,39748899,7500000,32248899,0
Monty Python's Life of Brian,1979,94,8.1,379773,36045115,4000000,32045115,0
Hachi: A Dog's Tale,2009,93,8.1,245112,47707417,16000000,31707417,0
Mars Attacks!,1996,106,6.3,215798,101371017,70000000,31371017,0
The Big Lebowski,1998,117,8.1,761428,46189568,15000000,31189568,0
How to Make an American Quilt,1995,117,6.3,11268,41174130,10000000,31174130,0
Georgia,1995,115,6.6,2975,41174130,10000000,31174130,1
Spice World,1997,93,3.5,35124,56042592,25000000,31042592,0
Tin Cup,1996,135,6.4,47769,75900000,45000000,30900000,0
Memento,2000,113,8.4,1095610,39723096,9000000,30723096,1
Great Expectations,1998,111,6.8,52438,55494066,25000000,30494066,0
Vermin,1998,80,6,9,55494066,25000000,30494066,1
Night of the Living Dead,1968,96,7.9,121037,30000000,114000,29886000,1
Picnic,1955,115,7.1,8413,30000000,114000,29886000,0
Sabrina,1995,127,6.3,38385,87313761,58000000,29313761,0
Fargo,1996,98,8.1,640203,36000000,7000000,29000000,0
The Usual Suspects,1995,106,8.5,1023449,34449356,6000000,28449356,0
The Quest,1996,95,5.6,25239,57400547,30000000,27400547,0
Maximum Risk,1996,101,5.5,21299,51702483,25000000,26702483,0
Anaconda,1997,89,4.8,100069,71000000,45000000,26000000,0
Friday,1995,91,7.3,104341,28215918,3500000,24715918,0
Madonna: Truth or Dare,1991,120,6.3,9124,29012935,4500000,24512935,0
A Separation,2011,123,8.3,213557,24426169,500000,23926169,0
Room,2015,118,8.1,355729,36262783,13000000,23262783,0
The Shadow,1994,108,6.1,24483,48055248,25000000,23055248,0
The Celluloid Closet,1995,102,7.8,6696,48055248,25000000,23055248,0
Andre,1994,95,5.7,6652,48055248,25000000,23055248,0
A Great Day in Harlem,1994,60,7.4,444,48055248,25000000,23055248,0
Cat on a Hot Tin Roof,1958,108,8,47154,25472824,3000000,22472824,1
Reality Bites,1994,99,6.6,47770,33351557,11500000,21851557,1
A Man of No Importance,1994,99,6.7,1097,33351557,11500000,21851557,0
Grave of the Fireflies,1988,89,8.5,224326,25220794,3700000,21520794,1
Before Sunrise,1995,101,8.1,284763,22600000,2500000,20100000,0
The Abyss,1989,140,7.5,169355,90000098,70000000,20000098,0
Jean de Florette,1986,120,8,24878,90000098,70000000,20000098,1
Metro,1997,117,5.5,26753,74387563,55000000,19387563,0
North by Northwest,1959,136,8.3,310510,22213000,3101000,19112000,0
The Juror,1996,118,5.7,17981,63054725,44000000,19054725,0
Hotel Rwanda,2004,121,8.1,328671,36532987,17500000,19032987,0
Kids,1995,91,7.1,75487,20000000,1500000,18500000,0
Shallow Grave,1994,89,7.3,58860,20500000,2500000,18000000,1
I Love Trouble,1994,123,5.3,11813,61947267,45000000,16947267,0
American History X,1998,119,8.5,1012079,23875127,7500000,16375127,0
Starship Troopers,1997,129,7.2,278306,121214377,105000000,16214377,0
Home Alone 3,1997,102,4.5,110008,48200000,32000000,16200000,0
The Craft,1996,101,6.4,84780,30900000,15000000,15900000,0
Fierce Creatures,1997,93,6.4,24022,40381260,25000000,15381260,0
The Hunt,2012,115,8.3,268565,18309793,3800000,14509793,0
From Dusk Till Dawn,1996,108,7.2,296591,33500000,19000000,14500000,0
Reservoir Dogs,1992,99,8.3,952550,14831693,1200000,13631693,0
Witness for the Prosecution,1957,116,8.4,104032,16350000,3000000,13350000,1
Before Sunset,2004,80,8,227977,15992615,2700000,13292615,0
Crimson Tide,1995,116,7.3,106173,66000000,53000000,13000000,0
Crumb,1994,119,8,19354,66000000,53000000,13000000,0
Oldboy,2003,120,8.4,499664,14980005,3000000,11980005,0
The Devil's Own,1997,111,6.2,62433,97939199,86000000,11939199,1
Singin' in the Rain,1952,103,8.3,227306,13979088,2540800,11438288,0
The Adventures of Pinocchio,1996,96,5.2,5612,36394530,25000000,11394530,0
Hoop Dreams,1994,170,8.3,25412,11830611,700000,11130611,0
The Big Sleep,1946,114,7.9,82327,10682000,250000,10432000,0
Emma,1996,120,6.7,37362,15600000,6000000,9600000,0
Money Train,1995,110,5.7,39953,77224232,68000000,9224232,1
Sudden Death,1995,111,5.8,33414,44000000,35000000,9000000,0
Clueless,1995,97,6.8,195776,20700000,12000000,8700000,0
Vampire in Brooklyn,1995,100,4.6,22690,28051736,20000000,8051736,0
The Relic,1997,110,5.8,26269,48024912,40000000,8024912,0
Fight Club,1999,139,8.8,1803156,71000000,63000000,8000000,1
Drishyam,2015,163,8.2,65533,17150759,9400000,7750759,0
One Flew Over the Cuckoo's Nest,1975,133,8.7,949152,11930050,4400000,7530050,0
