MOVIE TITLE,RELEASE YEAR,RUNTIME,IMDB RATING,IMDB VOTES,WORLDWIDE GROSS,ESTIMATED BUDGET,PROFIT,MOVIE REVIEW
The Nutty Professor,1996,95,5.6,113127,273961019,54000000,219961019,0
Good Will Hunting,1997,126,8.3,894884,225933435,10000000,215933435,1
Shutter Island,2010,138,8.2,1092728,294804195,80000000,214804195,1
Terminator 2: Judgment Day,1991,137,8.5,1028410,315000000,102000000,213000000,1
Jumanji,1995,104,7,321036,262797249,50000000,212797249,0
American Beauty,1999,122,8.3,1047150,226200000,15000000,211200000,0
Howl's Moving Castle,2004,119,8.2,317521,235184110,24000000,211184110,0
Life Is Beautiful,1997,116,8.6,604006,229163264,20000000,209163264,1
Pulp Fiction,1994,154,8.9,1896750,213928762,8000000,205928762,1
Priest,1994,105,7.1,9998,213928762,8000000,205928762,0
The Truman Show,1998,103,8.1,982015,264118201,60000000,204118201,1
Chungking Express,1994,102,8.1,70364,264118201,60000000,204118201,0
The Departed,2006,151,8.5,1156918,289847354,90000000,199847354,1
Schindler's List,1993,195,8.9,1258969,221000000,22000000,199000000,0
Alien,1979,117,8.4,818204,203630630,11000000,192630630,0
The Help,2011,146,8,418705,216639112,25000000,191639112,0
Million Dollar Baby,2004,132,8.1,621954,216763646,30000000,186763646,1
Ace Ventura: When Nature Calls,1995,90,6.4,207878,212385533,30000000,182385533,0
The Flintstones,1994,91,4.9,78262,228000000,46000000,182000000,0
Ben-Hur,1959,212,8.1,227530,196200000,15900000,180300000,0
2001: A Space Odyssey,1968,149,8.3,626121,190700000,12000000,178700000,1
The Hunt for Red October,1990,135,7.6,187099,200512643,30000000,170512643,0
Space Jam,1996,88,6.5,187116,250200000,80000000,170200000,0
Die Hard 2,1990,124,7.1,346082,240031094,70000000,170031094,0
The Santa Clause,1994,97,6.5,103336,189800000,22000000,167800000,0
12 Years a Slave,2013,134,8.1,623082,187733202,20000000,167733202,1
Scream,1996,111,7.3,298770,173046663,14000000,159046663,0
Disclosure,1994,128,6.1,48118,214015089,55000000,159015089,0
Eat Drink Man Woman,1994,124,7.8,19749,214015089,55000000,159015089,0
The Bridges of Madison County,1995,135,7.6,76398,182016617,24000000,158016617,0
Jeffrey,1995,92,6.8,6043,182016617,24000000,158016617,0
Dangerous Minds,1995,99,6.5,50555,179519401,23000000,156519401,0
The First Wives Club,1996,103,6.4,45631,181489203,26000000,155489203,0
The Birdcage,1996,117,7.1,83859,185260553,31000000,154260553,0
Clear and Present Danger,1994,141,6.9,93919,215887717,62000000,153887717,0
Kill Bill: Vol. 1,2003,111,8.1,975105,180949045,30000000,150949045,1
The Grand Budapest Hotel,2014,99,8.1,685799,174600318,25000000,149600318,1
Con Air,1997,115,6.9,284188,224012234,75000000,149012234,0
Scream 2,1997,120,6.2,163129,172363301,24000000,148363301,0
No Country for Old Men,2007,122,8.1,829019,171627166,25000000,146627166,1
"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,409729,160191915,15000000,145191915,1
Unforgiven,1992,130,8.2,389605,159157447,14400000,144757447,0
Dirty Dancing,1987,100,7,213352,150000000,6000000,144000000,0
City of Angels,1998,114,6.7,116486,198685114,55000000,143685114,0
Eraser,1996,115,6.1,106567,242295562,100000000,142295562,0
Stargate,1994,116,7.1,181502,196600000,55000000,141600000,0
The Lawnmower Man,1992,108,5.4,34867,150000000,10000000,140000000,0
Unhook the Stars,1996,103,6.6,2164,150000000,10000000,140000000,0
Outbreak,1995,127,6.6,124161,189859560,50000000,139859560,0
Cool Runnings,1993,98,7,97158,154856263,15000000,139856263,0
Hacksaw Ridge,2016,139,8.1,416620,175302354,40000000,135302354,1
Free Willy,1993,112,6,71796,153698625,20000000,133698625,0
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,926155,165800000,32500000,133300000,1
Legends of the Fall,1994,133,7.5,155445,160638883,30000000,130638883,0
Ford v Ferrari,2019,152,8.1,246697,225507881,97600000,127907881,0
The Horse Whisperer,1998,169,6.6,40082,186883563,60000000,126883563,0
The Journey of August King,1995,91,6.5,975,186883563,60000000,126883563,0
The Neon Bible,1995,91,6.1,828,186883563,60000000,126883563,0
Catwalk,1995,95,6.9,308,186883563,60000000,126883563,0
My Best Friend's Wedding,1997,105,6.3,134822,172168576,46000000,126168576,0
The Specialist,1994,110,5.6,64064,170400000,45000000,125400000,0
Dead Poets Society,1989,128,8.1,445707,140000000,16400000,123600000,1
Bad Boys,1995,119,6.9,248973,141407024,19000000,122407024,0
Sleepers,1996,147,7.6,205675,165615285,44000000,121615285,0
Under Siege,1992,103,6.5,81386,156400000,35000000,121400000,0
Phenomenon,1996,123,6.4,76508,152036382,32000000,120036382,0
George of the Jungle,1997,92,5.5,74172,174463257,55000000,119463257,1
Sense and Sensibility,1995,136,7.7,108369,135000000,16000000,119000000,1
Event Horizon,1997,96,6.7,167181,174463257,60000000,114463257,0
Batman & Robin,1997,125,3.8,240182,238207122,125000000,113207122,0
Die Hard,1988,132,8.2,817022,140767956,28000000,112767956,1
Aliens,1986,137,8.3,674973,131060248,18500000,112560248,1
A Time to Kill,1996,149,7.5,139553,152266007,40000000,112266007,0
The Graduate,1967,106,8,261542,114945305,3000000,111945305,0
Tomorrow Never Dies,1997,119,6.5,185833,221300000,110000000,111300000,0
Mary Poppins,1964,139,7.8,162859,115272727,6000000,109272727,0
Hot Shots! Part Deux,1993,86,6.6,87149,133752825,25000000,108752825,0
I Know What You Did Last Summer,1997,101,5.7,137472,125586134,17000000,108586134,0
Fried Green Tomatoes,1991,130,7.7,70085,119418501,11000000,108418501,0
Maverick,1994,127,7,106373,183031272,75000000,108031272,0
Brother Minister: The Assassination of Malcolm X,1994,115,7.3,100,183031272,75000000,108031272,0
Star Trek IV: The Voyage Home,1986,119,7.3,81619,133000000,25000000,108000000,0
The English Patient,1996,162,7.4,183447,134700000,27000000,107700000,0
Days of Thunder,1990,107,6.1,83230,165900000,60000000,105900000,0
A Perfect Candidate,1996,105,7.2,270,165900000,60000000,105900000,0
The Bloody Child,1996,85,4.4,138,165900000,60000000,105900000,0
Gandhi,1982,191,8,223125,127767889,22000000,105767889,0
The Wedding Singer,1998,97,6.9,140401,123306987,18000000,105306987,0
A Perfect World,1993,138,7.5,76783,135200000,30000000,105200000,0
Star Trek: First Contact,1996,111,7.6,120940,150000000,45000000,105000000,0
Mortal Kombat,1995,101,5.8,113618,122195920,18000000,104195920,0
Congo,1995,109,5.2,44156,152022101,50000000,102022101,0
Cliffhanger,1993,113,6.4,123587,171000000,70000000,101000000,0
Broken Arrow,1996,108,6,93918,150270147,50000000,100270147,0
The Young Poisoner's Handbook,1995,99,7.1,3557,150270147,50000000,100270147,0
The Jackal,1997,124,6.4,111706,159330280,60000000,99330280,0
Flubber,1997,93,5.3,86685,177977226,80000000,97977226,0
Ace Ventura: Pet Detective,1994,86,6.9,285879,107217396,12000000,95217396,0
